"Course Id","Course Name",Provider,Universities/Institutions,"Parent Subject","Child Subject",Url,"Next Session Date",Length,Video(Url)
387,"Principles of Obesity Economics",Coursera,"Johns Hopkins University","Social Sciences",Economics,https://www.coursera.org/course/obesityecon,NA,,https://d1a2y8pfnfh44t.cloudfront.net/45IacfhHAQs/|||https://d15cw65ipctsrr.cloudfront.net/76/83e929c860b4326c03c7c0e407042c/obesity_B-02.jpg
388,"Computing for Data Analysis",Coursera,"Johns Hopkins University","Computer Science","Data Science and Big Data",https://www.coursera.org/course/compdata,"6th Jan, 2014",4,https://d1a2y8pfnfh44t.cloudfront.net/gk6E57H6mTs/|||https://d15cw65ipctsrr.cloudfront.net/76/469a2849f2ae5a29cbefba53c82592/computing_B-02.jpg
389,"Clinical Problem Solving",Coursera,"University of California, San Francisco","Health & Medicine","Disease and Medicine",https://www.coursera.org/course/clinprobsolv,"26th Jan, 2015",6,https://d1a2y8pfnfh44t.cloudfront.net/IA3C79IWTDg/|||https://d15cw65ipctsrr.cloudfront.net/0d/1751b0352d11e48bf3558061d6b8d2/large-icon.png
390,"Learn to Program: Crafting Quality Code",Coursera,"University of Toronto","Computer Science",,https://www.coursera.org/course/programming2,"25th Mar, 2013",10,https://d1a2y8pfnfh44t.cloudfront.net/sFoXmWAhhC4/|||https://d15cw65ipctsrr.cloudfront.net/3d/88bf50352d11e48bf3558061d6b8d2/large-icon.png
391,"Nutrition for Health Promotion and Disease Prevention",Coursera,"University of California, San Francisco","Health & Medicine","Food, Exercise, and Nutrition",https://www.coursera.org/course/nutrition,"24th Feb, 2014",,https://d1a2y8pfnfh44t.cloudfront.net/_o5dXYHFn7U/|||https://d15cw65ipctsrr.cloudfront.net/36/3ff880352d11e4a4351b48ac74e750/large-icon.png
393,"Contraception: Choices, Culture and Consequences",Coursera,"University of California, San Francisco","Health & Medicine","Health & Society",https://www.coursera.org/course/contraception,"9th Sep, 2013",,https://d1a2y8pfnfh44t.cloudfront.net/CCmTQW7OebM/|||https://d15cw65ipctsrr.cloudfront.net/11/e10ec0352d11e4aeabbf8c949e23f9/large-icon.png
394,"Aboriginal Worldviews and Education",Coursera,"University of Toronto","Education & Teaching",,https://www.coursera.org/course/aboriginaled,"25th Feb, 2013",4,https://d1a2y8pfnfh44t.cloudfront.net/7KcLvOUzx0c/|||https://d15cw65ipctsrr.cloudfront.net/03/34f440352d11e48170130ca7e70d6d/large-icon.png
396,"An Introduction to the U.S. Food System: Perspectives from Public Health",Coursera,"Johns Hopkins University","Health & Medicine","Health & Society",https://www.coursera.org/course/foodsys,"20th Jan, 2015",6,https://d1a2y8pfnfh44t.cloudfront.net/5pUQOlTnB2o/|||https://d15cw65ipctsrr.cloudfront.net/c3/3c4039f8cdb1d9252c4d4d96cffda5/food_B-02.jpg
397,"Community Change in Public Health",Coursera,"Johns Hopkins University","Health & Medicine","Health & Society",https://www.coursera.org/course/communitychange,"13th Apr, 2015",6,https://d1a2y8pfnfh44t.cloudfront.net/41d377f0e5c611e39aff834d4cfc8d3f/|||https://d15cw65ipctsrr.cloudfront.net/92/bbaec749f8fe409468077ef9085396/community_B-02.jpg
398,"Neural Networks for Machine Learning",Coursera,"University of Toronto","Computer Science","Artificial Intelligence",https://www.coursera.org/course/neuralnets,"1st Oct, 2012",8,https://d1a2y8pfnfh44t.cloudfront.net/KuPai0ogiHk/|||https://d15cw65ipctsrr.cloudfront.net/34/a4bf10352d11e4ae1bdd88b9e8f59b/large-icon.png
399,"Vaccine Trials: Methods and Best Practices",Coursera,"Johns Hopkins University","Health & Medicine","Disease and Medicine",https://www.coursera.org/course/vacctrials,"24th Jun, 2013",,https://d1a2y8pfnfh44t.cloudfront.net/7gFTebM2dRU/|||https://d15cw65ipctsrr.cloudfront.net/42/3878a939695ab41f00d2a3aae8b909/vaccine_B-02.jpg
400,"The Social Context of Mental Health and Illness",Coursera,"University of Toronto","Health & Medicine","Disease and Medicine",https://www.coursera.org/course/mentalhealth,"24th Jun, 2013",6,https://d1a2y8pfnfh44t.cloudfront.net/D6kIVzB_sfc/|||https://d15cw65ipctsrr.cloudfront.net/2f/3ffa80352d11e4af4bdd0c6ca4b30a/large-icon.png
401,"Galaxies and Cosmology",Coursera,"California Institute of Technology",Science,"Physics & Astronomy",https://www.coursera.org/course/cosmo,"5th Jan, 2015",10,https://d1a2y8pfnfh44t.cloudfront.net/ddQrI3_ADfA/|||https://d15cw65ipctsrr.cloudfront.net/13/00d6a0352d11e49acdcfd9c2fca6c5/large-icon.png
402,"Principles of Economics for Scientists",Coursera,"California Institute of Technology",Science,,https://www.coursera.org/course/econ1scientists,"7th Jan, 2013",,https://d1a2y8pfnfh44t.cloudfront.net/peb6Ge7AeCk/|||https://d15cw65ipctsrr.cloudfront.net/1b/59ade0352d11e48c9cbde9a47c32c7/large-icon.png
403,"Drugs and the Brain",Coursera,"California Institute of Technology","Health & Medicine","Disease and Medicine",https://www.coursera.org/course/drugsandbrain,"4th Jan, 2014",,
404,"Control of Mobile Robots",Coursera,"Georgia Institute of Technology",Engineering,"Systems Engineering & Design",https://www.coursera.org/course/conrob,"20th Jan, 2014",7,https://d1a2y8pfnfh44t.cloudfront.net/SFEvOn7ADj4/|||https://d15cw65ipctsrr.cloudfront.net/11/3b0ac0352d11e4b28a5b9bdf8d9c55/large-icon.png
405,"UT.1.01x: Energy 101",Coursera,"Georgia Institute of Technology",Science,"Earth Sciences",https://www.coursera.org/course/energy101,"13th Jan, 2014",11,http://www.youtube.com/watch?v=gdtuFKscxrA
406,"Computational Investing, Part I",Coursera,"Georgia Institute of Technology","Business & Management","Marketing & Finance",https://www.coursera.org/course/compinvesting1,"12th Sep, 2014",,https://d1a2y8pfnfh44t.cloudfront.net/HUDwIEeil38/|||https://d15cw65ipctsrr.cloudfront.net/18/95abe0352d11e4a20a15dee8e65a23/large-icon.png
407,"Computational Photography",Coursera,"Georgia Institute of Technology","Computer Science",,https://www.coursera.org/course/compphoto,"25th Mar, 2013",,https://d1a2y8pfnfh44t.cloudfront.net/zFU30zBxbmc/|||https://d15cw65ipctsrr.cloudfront.net/10/388ee0352d11e4b07f0965d0c0162f/large-icon.png
408,"An Introduction to Interactive Programming in Python",Coursera,"Rice University","Computer Science",,https://www.coursera.org/course/interactivepython,"15th Sep, 2014",,https://d1a2y8pfnfh44t.cloudfront.net/LjCzaz1aEBo/|||https://d15cw65ipctsrr.cloudfront.net/2d/99eba0352d11e4b28a5b9bdf8d9c55/large-icon.png
